@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Hogshead (US); volume; hhd (US); ; US; Hogshead; http://conversion.org/volume/hogshead-us/; 2 fl bl (US); <b>Hogshead (US)</b> is  <i>volume</i> unit, symbol: [hhd (US)]. Definition of 1 hogshead (US) ≡ 2 fl bl (US). US hogshead is a large cask of liquid, equal to ≡ 0.238480942392 m³.
Jigger (bartending); volume; jigger (bartending); ; bartending; Jigger; http://conversion.org/volume/jigger-bartending/; 1 1⁄2 US fl oz; <b>Jigger (bartending)</b> is  <i>volume</i> unit. Definition of 1 jigger (bartending) ≡  1 1⁄2 US fl oz. A jigger or measure is a bartending tool used to measure liquor, which is typically then poured into a cocktail shaker..
Kilderkin; volume; kilderkin; ; ; ; http://conversion.org/volume/kilderkin/; 18 gal (imp); <b>Kilderkin</b> is  <i>volume</i> unit. Definition of 1 kilderkin ≡ 18 gal (imp). The kilderkin (from the Dutch for small cask) is equal to half a barrel or two firkins or 18 imperial gallons ≡ 0.08182962 m³.
Lambda; volume; λ; ; metric; ; http://conversion.org/volume/lambda/; 1 mm³; <b>Lambda</b> is  <i>volume</i> unit, symbol: [λ]. Definition of 1 lambda ≡ 1 mm³. Lambda is a legit metric unit of volume equal to ≡ 1×10^-9 m³.
Last; volume; last; ; ; ; http://conversion.org/volume/last/; 80 bu (imp); <b>Last</b> is  <i>volume</i> unit. Definition of 1 last ≡ 80 bu (imp). The last was a large English unit of volume. It referred to standardized amounts of ships lading and varied by commodity and over time ≡ 2.9094976 m³.
Litre; volume; L; ; ; ; http://conversion.org/volume/litre/; 1 dm³; <b>Litre</b> is  <i>volume</i> unit, symbol: [L]. Definition of 1 litre ≡ 1 dm³. Litre (or Liter spelling in American English) is very popular unit of volume equal to 10 cm × 10 cm × 10 cm cube ≡ 0.001 m³.
Load; volume; load; ; ; ; http://conversion.org/volume/load/; 50 cu ft; <b>Load</b> is  <i>volume</i> unit. Definition of 1 load ≡ 50 cu ft. Load volume unit is equal to 50 cubic feet ≡ 50 × 0.3048³ ≡ 1.4158423296 m³.
Microlitre; volume; µL; ; metric; ; http://conversion.org/volume/microlitre/; 1e-6 L; <b>Microlitre</b> is metric <i>volume</i> unit, symbol: [µL]. Definition of 1 microlitre  ≡ 10^-6 L. One microlitre volume is equivalent to one millionth of Litre ≡ 1 cubic millimetre.
Millilitre; volume; mL; ; metric; ; http://conversion.org/volume/millilitre/; 0.001 L; <b>Millilitre</b> is metric <i>volume</i> unit, symbol: [mL]. Definition of 1 millilitre  ≡ 0.001 L. One millilitre is volume equivalent to one cubic centimetre.
Minim (imperial); volume; min; ; imperial; Minim; http://conversion.org/volume/minim-imperial/; 1⁄480 fl oz (imp) = 1/60 fl dr (imp); <b>Minim (imperial)</b> is  <i>volume</i> unit, symbol: [min]. Definition of 1 minim (imperial) ≡  1⁄480 fl oz (imp) ≡ 1/60 fl dr (imp). Imperial minim is volume unit equal to 1/480 part of imperial ounce ≡ 59.1938802083×10^-9 m³.
Minim (US); volume; min; ; US; Minim; http://conversion.org/volume/minim-us/; 1⁄480 US fl oz = 1⁄60 US fl dr; <b>Minim (US)</b> is  <i>volume</i> unit, symbol: [min]. Definition of 1 minim (US) ≡  1⁄480 US fl oz ≡  1⁄60 US fl dr. US minim is volume unit equal to 1/480 part of US fluid ounce≡ 61.611519921875×10^-9 m³.
Ounce (fluid imperial); volume; fl oz (imp); ; fluid imperial; Ounce; http://conversion.org/volume/ounce-fluid-imperial/; 1⁄160 gal (imp); <b>Ounce (fluid imperial)</b> is  <i>volume</i> unit, symbol: [fl oz (imp)]. Definition of 1 ounce (fluid imperial) ≡  1⁄160 gal (imp). Imperial fluid ounce is unit of volume (or capacity) equal to 1/160 of imperial gallon ≡ 28.4130625×10^-6 m³.
Ounce (fluid US customary); volume; US fl oz; ; fluid US customary; Ounce; http://conversion.org/volume/ounce-fluid-us-customary/; 1⁄128 gal (US); <b>Ounce (fluid US customary)</b> is  <i>volume</i> unit, symbol: [US fl oz]. Definition of 1 ounce (fluid US customary) ≡  1⁄128 gal (US). US fluid ounce is unit of volume (or capacity) equal to 1/128 of US fluid gallon ≡ 29.5735295625×10^-6 m³.
Ounce (fluid US food nutrition labeling); volume; US fl oz; ; fluid US food nutrition labeling; Ounce; http://conversion.org/volume/ounce-fluid-us-food-nutrition-labeling/; 30 mL; <b>Ounce (fluid US food nutrition labeling)</b> is  <i>volume</i> unit, symbol: [US fl oz]. Definition of 1 ounce (fluid US food nutrition labeling) ≡ 30 mL. By definition exactly 30 mL ≡ 3×10^-5 m³.
Peck (imperial); volume; pk; ; imperial; Peck; http://conversion.org/volume/peck-imperial/; 2 gal (imp); <b>Peck (imperial)</b> is  <i>volume</i> unit, symbol: [pk]. Definition of 1 peck (imperial) ≡ 2 gal (imp). A peck is an imperial (and US customary) unit of dry volume equivalent to 2 imperial gallons ≡ 9.09218×10^-3 m³.
Peck (US dry); volume; pk; ; US dry; Peck; http://conversion.org/volume/peck-us-dry/; 1⁄4 US lvl bu; <b>Peck (US dry)</b> is  <i>volume</i> unit, symbol: [pk]. Definition of 1 peck (US dry) ≡  1⁄4 US lvl bu. US peck is an US customary (and imperial) unit of dry volume equivalent to 2 US dry gallons ≡ 8.80976754172×10^-3 m³.
Perch; volume; per; ; ; ; http://conversion.org/volume/perch/; 16 1⁄2 ft ×  1 1⁄2 ft × ft; <b>Perch</b> is  <i>volume</i> unit, symbol: [per]. Definition of 1 perch ≡  16 1⁄2 ft ×  1 1⁄2 ft × ft. Perch is a traditional unit of volume for stone and other masonry 24.75 cu ft ≡ 0.700841953152 m³.
Picolitre; volume; pL; ; metric; ; http://conversion.org/volume/picolitre/; 1e-9 L; <b>Picolitre</b> is metric <i>volume</i> unit, symbol: [pL]. Definition of 1 picolitre  ≡ 10^-9 L. One picolitre is very small unit. 1 mL contains million picolitres..
Pinch (imperial); volume; pinch (imp); ; imperial; Pinch; http://conversion.org/volume/pinch-imperial/; 1⁄192 gi (imp) = 1/16 tsp (imp); <b>Pinch (imperial)</b> is  <i>volume</i> unit. Definition of 1 pinch (imperial) ≡  1⁄192 gi (imp) ≡ 1/16 tsp (imp). Imperial pinch is a kitchen volume unit used to dose salt, sugar, spice ≡ 739.92350260416×10^-9 m³.
Pinch (US); volume; pinch (US); ; US; Pinch; http://conversion.org/volume/pinch-us/; 1⁄48 US fl oz = 1/16 US tsp; <b>Pinch (US)</b> is  <i>volume</i> unit. Definition of 1 pinch (US) ≡  1⁄48 US fl oz ≡ 1/16 US tsp. US pinch is kitchen US (dry) Volume Unit ≡ 616.11519921875×10^-9 m³.
Pint (imperial); volume; pt (imp); ; imperial; Pint; http://conversion.org/volume/pint-imperial/; 1⁄8 gal (imp); <b>Pint (imperial)</b> is  <i>volume</i> unit, symbol: [pt (imp)]. Definition of 1 pint (imperial) ≡  1⁄8 gal (imp). Imperial pint is unit of volume equal to one-eighth of an imperial gallon ≡ 568.26125×10^-6 m³.
Pint (US dry); volume; pt (US dry); ; US dry; Pint; http://conversion.org/volume/pint-us-dry/; 1⁄64 bu (US lvl) = 1⁄8 gal (US dry); <b>Pint (US dry)</b> is  <i>volume</i> unit, symbol: [pt (US dry)]. Definition of 1 pint (US dry) ≡  1⁄64 bu (US lvl) ≡  1⁄8 gal (US dry). US dry pint is unit of volume equal to one-eighth of an US dry gallon ≡ 550.6104713575×10^-6 m³.
Pint (US fluid); volume; pt (US fl); ; US fluid; Pint; http://conversion.org/volume/pint-us-fluid/; 1⁄8 gal (US); <b>Pint (US fluid)</b> is  <i>volume</i> unit, symbol: [pt (US fl)]. Definition of 1 pint (US fluid) ≡  1⁄8 gal (US). US fluid pint is unit of volume equal to one-eighth of an US liquid gallon≡ 473.176473×10^-6 m³.
